Plant_id;Area_m2;Plot;Plant_sp;Plant_sp_complete
616;0.071;F;TMAS;Thymus_mastichina
551;0.274;F;HHAL;Halimium_halimifolium
221;0.743;F;UPAR;Ulex_parviflorus
349;0.171;F;LPED;Lavandula_pedunculata
625;0.017;F;TMAS;Thymus_mastichina
462;0.016;F;AVEL;Armeria_velutina
205;0.802;F;HCOM;Halimium_commutatum
105;0.369;F;ROFF;Rosmarinus_officinalis
546;1.692;F;HHAL;Halimium_halimifolium
611;0.079;F;TMAS;Thymus_mastichina
555;0.148;F;HHAL;Halimium_halimifolium
203;0.235;F;HCOM;Halimium_commutatum
339;0.118;F;LPED;Lavandula_pedunculata
104;0.801;F;ROFF;Rosmarinus_officinalis
92;1.693;F;ROFF;Rosmarinus_officinalis
206;0.197;F;HCOM;Halimium_commutatum
618;0.104;F;TMAS;Thymus_mastichina
337;0.579;F;LPED;Lavandula_pedunculata
218;0.324;F;UPAR;Ulex_parviflorus
621;0.036;F;TMAS;Thymus_mastichina
222;0.498;F;UPAR;Ulex_parviflorus
561;0.037;F;CLIB;Cistus_libanotis
620;0.119;F;TMAS;Thymus_mastichina
219;0.649;F;SGEN;Stauracanthus_genistoides
623;0.101;F;TMAS;Thymus_mastichina
94;0.218;F;ROFF;Rosmarinus_officinalis
338;0.067;F;LPED;Lavandula_pedunculata
204;0.78;F;HCOM;Halimium_commutatum
624;0.127;F;TMAS;Thymus_mastichina
103;1.793;F;ROFF;Rosmarinus_officinalis
554;1.235;F;HHAL;Halimium_halimifolium
553;0.752;F;HHAL;Halimium_halimifolium
350;0.198;F;LPED;Lavandula_pedunculata
346;0.368;F;LPED;Lavandula_pedunculata
461;0.009;F;AVEL;Armeria_velutina
460;0.007;F;AVEL;Armeria_velutina
562;0.071;F;CLIB;Cistus_libanotis
202;0.808;F;HCOM;Halimium_commutatum
429;0.21;F;CLIB;Cistus_libanotis
198;1.873;F;HCOM;Halimium_commutatum
341;0.059;F;LPED;Lavandula_pedunculata
556;0.802;F;HHAL;Halimium_halimifolium
200;0.922;F;HCOM;Halimium_commutatum
615;0.098;F;TMAS;Thymus_mastichina
343;0.201;F;LPED;Lavandula_pedunculata
428;0.433;F;CLIB;Cistus_libanotis
211;0.103;F;SGEN;Stauracanthus_genistoides
344;0.211;F;LPED;Lavandula_pedunculata
X;0.757;F;UPAR;Ulex_parviflorus
209;0.237;F;HCOM;Halimium_commutatum
430;0.767;F;CLIB;Cistus_libanotis
560;0.96;F;HHAL;Halimium_halimifolium
348;0.059;F;LPED;Lavandula_pedunculata
686;0.041;F;HPIC;Helichrysum_picardii
100;0.436;F;ROFF;Rosmarinus_officinalis
215;0.36;F;SGEN;Stauracanthus_genistoides
427;0.207;F;CLIB;Cistus_libanotis
564;0.667;F;CLIB;Cistus_libanotis
557;0.342;F;HHAL;Halimium_halimifolium
98;1.379;F;ROFF;Rosmarinus_officinalis
563;0.052;F;CLIB;Cistus_libanotis
101;3.261;F;ROFF;Rosmarinus_officinalis
612;0.074;F;TMAS;Thymus_mastichina
199;0.73;F;HCOM;Halimium_commutatum
559;0.791;F;HHAL;Halimium_halimifolium
224;0.482;F;UPAR;Ulex_parviflorus
434;0.158;F;CLIB;Cistus_libanotis
614;0.557;F;TMAS;Thymus_mastichina
345;0.382;F;LPED;Lavandula_pedunculata
467;0.024;F;AVEL;Armeria_velutina
223;0.658;F;UPAR;Ulex_parviflorus
214;0.931;F;UPAR;Ulex_parviflorus
336;0.474;F;LPED;Lavandula_pedunculata
93;1.985;F;ROFF;Rosmarinus_officinalis
435;0.451;F;CLIB;Cistus_libanotis
342;0.253;F;LPED;Lavandula_pedunculata
613;0.035;F;TMAS;Thymus_mastichina
622;0.114;F;TMAS;Thymus_mastichina
207;0.403;F;HCOM;Halimium_commutatum
340;0.102;F;LPED;Lavandula_pedunculata
216;0.842;F;SGEN;Stauracanthus_genistoides
431;0.138;F;CLIB;Cistus_libanotis
619;0.201;F;TMAS;Thymus_mastichina
91;1.172;F;ROFF;Rosmarinus_officinalis
466;0.013;F;AVEL;Armeria_velutina
