"Plant_id","Plant_sp","sync_index_het","sync_index_con"
"1","UPAR",0.116449791959293,0.932133676092545
"10","UPAR",0.112420225822288,0.936507936507937
"100","ROFF",0.291937382810797,0.959229058561898
"101","ROFF",0.222241389224311,0.922653958944282
"102","ROFF",0.297298089694856,0.955853161704156
"103","ROFF",0.3007953665025,0.946633508335636
"104","ROFF",0.295179991501244,0.953353973168215
"105","ROFF",0.365942028985507,1
"106","HCOM",0.293814432989691,0.977422790202343
"107","HCOM",0.30512204066664,0.959815546772068
"108","HCOM",0.293725559900462,0.96264367816092
"109","HCOM",0.298853884697345,0.951582867783985
"11","UPAR",0.111353423209093,0.934188034188034
"110","HCOM",0.289379045792376,0.961821705426357
"111","HCOM",0.318799272286234,1
"112","HCOM",0.316222424015811,0.949568221070812
"113","HCOM",0.314499425525429,0.970684862269396
"114","HCOM",0.311270481597689,0.994524959742351
"115","HCOM",0.297490450568859,0.958432934926959
"116","HCOM",0.311837128235556,0.970503597122302
"117","HCOM",0.298401241656046,0.983190534475724
"118","HCOM",0.307327946503204,0.990575190575191
"119","HCOM",0.291532871387527,0.961384335154827
"12","UPAR",0.103959492747012,0.933628318584071
"120","HCOM",0.29573883161512,0.958666666666667
"121","HCOM",0.305486313337216,0.947921568627451
"122","HCOM",0.338216977348055,0.969864960909737
"123","HCOM",0.339508144362823,0.967741935483871
"124","HCOM",0.331074283898978,0.954723707664884
"125","HCOM",0.37790165571179,0.98468720821662
"126","HCOM",0.391759534697864,0.989237668161435
"127","HCOM",0.319108655051552,0.962962962962963
"128","HCOM",0.332726546197221,0.960657698056801
"129","HCOM",0.364475545298891,0.984962406015037
"13","UPAR",0.106696233435324,0.934091692519821
"130","HCOM",0.364289593516314,0.967369901547117
"131","HCOM",0.36280808931957,0.973758865248227
"132","HCOM",0.344195836906525,0.962642169728784
"133","HCOM",0.350225555099889,0.958086785009862
"134","HCOM",0.287671232876712,0.964992389649924
"135","HCOM",0.377320544554455,0.97875
"136","HCOM",0.391642519444868,0.960642570281125
"137","HCOM",0.392916778884999,0.96
"138","HCOM",0.403361916428474,0.970250896057348
"139","HCOM",0.390425005303727,0.964618249534451
"14","UPAR",0.112612834804913,0.933652312599681
"140","HCOM",0.39521800281294,0.97037037037037
"141","HCOM",0.416884611361021,0.975757575757576
"142","HCOM",0.410553606832393,0.979317269076305
"143","HCOM",0.404770427255865,0.964353041988003
"144","HCOM",0.407537831921576,0.967418546365915
"145","HCOM",0.38975254339724,0.961450044208665
"146","HCOM",0.416200742496757,0.974087161366313
"147","HCOM",0.414163809327387,0.977189409368635
"148","HCOM",0.405129913391073,0.966081871345029
"149","HCOM",0.414556962025316,0.98125
"15","UPAR",0.122708492117614,0.929159297252683
"150","HCOM",0.422306388916575,0.984776902887139
"151","HCOM",0.303753251579339,0.95768115942029
"152","HCOM",0.321583016642642,0.974219193639977
"153","HCOM",0.300410256410256,0.963466666666667
"154","HCOM",0.296214896214896,0.968095238095238
"155","HCOM",0.298642533936652,0.954901960784314
"156","HCOM",0.324469116221694,0.977044673539519
"157","HCOM",0.295457281372774,0.965599658557405
"158","HCOM",0.325250836120401,0.981159420289855
"159","HCOM",0.307375751820196,0.987654320987654
"16","ROFF",0.311237787185003,0.771333088804662
"160","HCOM",0.288763339610797,0.960326428123038
"161","HCOM",0.27326575233552,0.965581395348837
"162","HCOM",0.275732481958163,0.974837872892348
"163","HCOM",0.285849952516619,0.958922558922559
"164","HCOM",0.307029874137625,0.958286074354127
"165","HCOM",0.315864447443395,0.967836257309941
"166","SGEN",0.315045599961801,0.735567970204842
"167","SGEN",0.366855366855367,0.909090909090909
"168","SGEN",0.323593718942556,0.77984496124031
"169","SGEN",0.337487465979086,0.824208566108007
"17","ROFF",0.240033647452001,0.830769230769231
"170","SGEN",0.358974358974359,1
"171","SGEN",0.288617886178862,0.654471544715447
"172","SGEN",0.37165991902834,0.895906432748538
"173","SGEN",0.340685380969741,0.839652448657188
"174","SGEN",0.360873694207028,0.888888888888889
"175","SGEN",0.311020036429872,0.717213114754098
"176","SGEN",0.36299648064354,0.945098039215686
"177","SGEN",0.36583374162992,0.851380042462845
"178","SGEN",0.339521800281294,0.837130801687764
"179","SGEN",0.366366366366366,0.942342342342342
"18","ROFF",0.221207084663152,0.884654994850669
"180","SGEN",0.343556225909167,0.756862745098039
"181","HCOM",0.348185117967332,0.966436781609195
"182","HCOM",0.371822413175797,0.972562358276644
"183","HCOM",0.291956305858987,0.955555555555556
"184","HCOM",0.381578947368421,0.973039215686274
"185","HCOM",0.377546138072454,0.963722943722944
"186","HCOM",0.390621974361953,0.980132450331126
"187","HCOM",0.391922395565461,0.978175895765472
"188","HCOM",0.36007702182285,0.95103884372177
"189","HCOM",0.399828491799764,0.979090291921249
"19","ROFF",0.256708706584944,0.906084656084656
"190","HCOM",0.368549110001281,0.969343065693431
"191","HCOM",0.382903811252269,0.961931034482759
"192","HCOM",0.36544577818816,0.964132553606238
"193","HCOM",0.351909184726522,0.959738562091503
"194","HCOM",0.35501825630065,0.959390862944162
"195","HCOM",0.365543488350506,0.976014109347443
"196","HCOM",0.331948598648499,0.993220338983051
"197","HCOM",0.356606193879421,0.978816199376947
"198","HCOM",0.346728384947294,0.986722376973073
"199","HCOM",0.356862745098039,0.984102564102564
"2","UPAR",0.113257024174881,0.932095291690115
"20","ROFF",0.280509912894416,0.844681094698271
"200","HCOM",0.354151747655584,0.986086956521739
"201","HCOM",0.349610929707426,0.980723557028445
"202","HCOM",0.353277136399731,0.986085150571132
"203","HCOM",0.354994700582936,0.984684684684685
"204","HCOM",0.309393524851801,0.987596899224806
"205","HCOM",0.36190067267783,0.978102189781022
"206","HCOM",0.358413132694938,0.986046511627907
"207","HCOM",0.353187300024612,0.984379358437936
"208","HCOM",0.349329205366357,0.982456140350877
"209","HCOM",0.361249584579595,1
"21","ROFF",0.259942244224422,0.825509259259259
"210","HCOM",0.353978129713424,0.976923076923077
"211","SGEN",0.391605644867155,0.993501529051988
"212","UPAR",0.392257775788767,0.591463414634146
"213","SGEN",0.349554580507911,1
"214","UPAR",0.339449541284404,0.875
"215","SGEN",0.363309473401216,0.984432234432234
"216","SGEN",0.379885899313854,0.995798319327731
"217","SGEN",0.37110737821424,0.976232394366197
"218","0",0,0
"219","SGEN",0.363443895553987,0.986607142857143
"22","ROFF",0.191062520574308,0.861466325660699
"220","SGEN",0.388038333430725,0.990843949044586
"221","UPAR",0.344692005242464,0.821428571428571
"222","UPAR",0.357798165137615,0.760416666666667
"223","UPAR",0.339449541284404,0.875
"224","UPAR",0.339449541284404,0.875
"225","SGEN",0.370634949414367,0.988636363636364
"226","SGEN",0.371826228744468,0.949382716049383
"227","SGEN",0.365741462653984,0.925619834710744
"228","SGEN",0.388383723573539,0.928915662650602
"229","SGEN",0.398268819295857,0.904123711340206
"23","ROFF",0.360100846033248,0.996100808368997
"230","SGEN",0.365030674846626,0.912269938650307
"231","SGEN",0.350498738132436,0.939915074309979
"232","SGEN",0.423108771514757,0.863636363636364
"233","SGEN",0.362974033252382,0.944554455445545
"234","SGEN",0.346155475086293,0.918630751964085
"235","SGEN",0.405038978646481,0.864670658682635
"236","ROFF",0.412949801331916,0.961676646706587
"237","ROFF",0.38371675053918,0.977662721893491
"238","ROFF",0.386713816620359,0.989189189189189
"239","ROFF",0.40001454598349,0.976264591439689
"24","ROFF",0.253207727243907,0.907897988990001
"240","ROFF",0.416378527601735,0.958783120706575
"241","SGEN",0.346726285531779,0.997653958944282
"242","SGEN",0.374754866791027,0.976284584980237
"243","SGEN",0.383230331672476,0.98782642843118
"244","SGEN",0.383466918120383,0.995670995670996
"245","SGEN",0.357074417119131,0.994134897360704
"246","SGEN",0.374269354646308,0.993975903614458
"247","SGEN",0.39677495601019,0.985290571497468
"248","SGEN",0.377321673773217,0.994691439946914
"249","SGEN",0.371489407005217,0.991006842619746
"25","ROFF",0.349218099380031,0.912772585669782
"250","SGEN",0.353216303225415,0.997322922476297
"251","SGEN",0.416134940328489,0.960049627791563
"252","SGEN",0.417674477198287,0.967724867724868
"253","SGEN",0.420200043487715,0.97945205479452
"254","SGEN",0.484493529674253,0.958768406961178
"255","SGEN",0.411311053984576,0.956298200514139
"256","SGEN",0.419900058788948,0.971604938271605
"257","SGEN",0.460286817429675,0.964478764478764
"258","SGEN",0.429705215419501,0.966666666666667
"259","SGEN",0.366707954858244,0.971098265895954
"26","ROFF",0.252188994409645,0.811791383219955
"260","SGEN",0.354210305823209,0.970674486803519
